cu1809	09:29:49.000	2018-07-25 09:29:49.000000000	2018-07-24 10:11:36.829310000	-83892170690000
cu1809	09:29:49.500	2018-07-25 09:29:49.500000000	2018-07-24 10:11:37.328656000	-83892171344000
cu1809	09:29:50.000	2018-07-25 09:29:50.000000000	2018-07-24 10:11:37.855844000	-83892144156000
cu1809	09:29:50.500	2018-07-25 09:29:50.500000000	2018-07-24 10:11:38.329497000	-83892170503000
cu1809	09:29:51.000	2018-07-25 09:29:51.000000000	2018-07-24 10:11:38.829369000	-83892170631000
cu1809	09:29:51.500	2018-07-25 09:29:51.500000000	2018-07-24 10:11:39.349297000	-83892150703000
cu1809	09:29:52.500	2018-07-25 09:29:52.500000000	2018-07-24 10:11:40.329356000	-83892170644000
cu1809	09:29:53.000	2018-07-25 09:29:53.000000000	2018-07-24 10:11:40.829167000	-83892170833000
cu1809	09:29:54.500	2018-07-25 09:29:54.500000000	2018-07-24 10:11:42.344644000	-83892155356000
cu1809	09:29:55.000	2018-07-25 09:29:55.000000000	2018-07-24 10:11:42.849768000	-83892150232000
cu1809	09:29:55.500	2018-07-25 09:29:55.500000000	2018-07-24 10:11:43.345295000	-83892154705000
cu1809	09:29:56.000	2018-07-25 09:29:56.000000000	2018-07-24 10:11:43.849133000	-83892150867000
cu1809	09:29:56.500	2018-07-25 09:29:56.500000000	2018-07-24 10:11:44.329183000	-83892170817000
cu1809	09:29:57.500	2018-07-25 09:29:57.500000000	2018-07-24 10:11:45.328678000	-83892171322000
cu1809	09:29:58.000	2018-07-25 09:29:58.000000000	2018-07-24 10:11:45.855589000	-83892144411000
cu1809	09:29:58.500	2018-07-25 09:29:58.500000000	2018-07-24 10:11:46.350887000	-83892149113000
cu1809	09:29:59.000	2018-07-25 09:29:59.000000000	2018-07-24 10:11:46.849227000	-83892150773000
cu1809	09:29:59.500	2018-07-25 09:29:59.500000000	2018-07-24 10:11:47.328828000	-83892171172000
cu1809	09:30:00.500	2018-07-25 09:30:00.500000000	2018-07-24 10:11:48.329968000	-83892170032000
cu1809	09:30:01.000	2018-07-25 09:30:01.000000000	2018-07-24 10:11:48.847412000	-83892152588000
cu1809	09:30:01.500	2018-07-25 09:30:01.500000000	2018-07-24 10:11:49.329424000	-83892170576000
cu1809	09:30:02.000	2018-07-25 09:30:02.000000000	2018-07-24 10:11:49.842901000	-83892157099000
cu1809	09:30:02.500	2018-07-25 09:30:02.500000000	2018-07-24 10:11:50.332319000	-83892167681000
cu1809	09:30:03.000	2018-07-25 09:30:03.000000000	2018-07-24 10:11:50.830970000	-83892169030000
cu1809	09:30:03.500	2018-07-25 09:30:03.500000000	2018-07-24 10:11:51.330178000	-83892169822000
cu1809	09:30:04.000	2018-07-25 09:30:04.000000000	2018-07-24 10:11:51.845814000	-83892154186000
cu1809	09:30:04.500	2018-07-25 09:30:04.500000000	2018-07-24 10:11:52.329751000	-83892170249000
cu1809	09:30:05.000	2018-07-25 09:30:05.000000000	2018-07-24 10:11:52.857489000	-83892142511000
cu1809	09:30:05.500	2018-07-25 09:30:05.500000000	2018-07-24 10:11:53.331849000	-83892168151000
cu1809	09:30:06.000	2018-07-25 09:30:06.000000000	2018-07-24 10:11:53.859709000	-83892140291000
cu1809	09:30:06.500	2018-07-25 09:30:06.500000000	2018-07-24 10:11:54.357911000	-83892142089000
